dish_name,cross_contam,egg,fish,milk,peanut,shellfish,soy,treenuts,gluten,veg/vgn,dish_type
The Original Chili w/o Cheese,1,,,,,,,,,,soup
Brisket Quesadillas - Half Order,,1,,1,,,1,,1,,entrée
Cheesy Bacon BBQ Chicken,,,,1,,,1,,,,entrée
Crispy Crispers w/o Dressing,1,,,,,,,,1,,entrée
Honey Chipotle Crispers w/o Dressing,1,,,,,,,,1,,entrée
Original Crispers w/o Dressing,1,,,,,,1,,1,,entrée
Mango-Habanero Crispers w/o Dressing,1,,,,,,,,1,,entrée
Add Side Original BBQ Sauce,,,,,,,,,,VG,entrée
Add Side Honey-Mustard,,1,,,,,,,,VT,entrée
Add Side House BBQ,,,,,,,1,,,VG,entrée
Add Side Ranch,,1,,1,,,,,,VT,entrée
Jalapeno-Cheddar Smoked Sausage,,,,1,,,,,,,entrée
Ribs Honey-Chipotle - Half Rack,,,,,,,,,,,entrée
Ribs House BBQ - Half Rack,,,,,,,1,,,,entrée
Ribs Original - Half Rack,,,,,,,,,,,entrée
Ribs Dry Rub - Half Rack,,,,,,,1,,,,entrée
Smoked Brisket w/o Toast,,,,,,,1,,,,entrée
Chile-Garlic Toast,,,,1,,,1,,1,VT,sides
Garlic Dill Pickles,,,,,,,,,,VG,sides
Fries,1,,,,,,,,,VG,sides
Roasted Street Corn,,1,,1,,,1,,,VT,sides
Cheesecake,,1,,1,,,1,,1,VT,dessert
Mini Molten Chocolate Cake,,1,,1,,,1,,1,VT,dessert
Molten Chocolate Cake,,1,,1,,,1,,1,VT,dessert
Skillet Chocolate Chip Cookie,,1,,1,,,1,,1,VT,dessert
Awesome Blossom Petals,1,1,,1,,,1,,1,VT,sides
Black Beans,,,,,,,,,,VG,sides
Coleslaw,,1,,,,,,,,VT,sides
Fries,1,,,,,,,,,VG,sides
Loaded Mashed Potatoes,,,,1,,,1,,,,sides
Loaded Mashed Potatoes w/o Bacon,,,,1,,,1,,,VT,sides
Mexican Rice,,,,,,,,,,VG,sides
Roasted Asparagus,,,,,,,,,,VG,sides
Roasted Street Corn,,1,,1,,,1,,,VT,sides
Steamed Broccoli,,,,,,,,,,VG,sides
Sweet Corn on the Cob,,,,,,,1,,,VG,sides
Avocado Slices,,,,,,,,,,VG,add_ons
Burger Bun,,,,,,,1,,1,VT,add_ons
"Cheese, American",,,,1,,,1,,,,add_ons
"Cheese, Cheddar",,,,1,,,,,,VT,add_ons
"Cheese, Pepper Jack",,,,1,,,,,,VT,add_ons
"Cheese, Swiss",,,,1,,,,,,VT,add_ons
Fresh Guacamole,,,,,,,,,,VG,add_ons
"Gravy, Black Pepper",,,,1,,,1,,1,,add_ons
Honey Chipotle Sauce,,,,,,,,,,VT,add_ons
Pickles,,,,,,,,,,VG,add_ons
Salsa,,,,,,,,,,VG,add_ons
Sour Cream,,,,1,,,,,,VT,add_ons
Wing Sauce,,,1,,,,,,,,add_ons
